"","R1","R2","R3","P5","P7","mm10_unique","mm10_total","mm10_dup","mm10_libsize"
"530933","R1.015","R2.078","R3.053","P1.04","P2.04",1,2,0.5,1
"531080","R1.015","R2.079","R3.008","P1.04","P2.04",1,1,0,1
"531166","R1.015","R2.079","R3.094","P1.04","P2.04",1,1,0,1
"531735","R1.015","R2.082","R3.087","P1.04","P2.04",1,1,0,1
"532309","R1.015","R2.085","R3.085","P1.04","P2.04",1,1,0,1
"533071","R1.015","R2.089","R3.079","P1.04","P2.04",1,1,0,1
"533212","R1.015","R2.090","R3.028","P1.04","P2.04",1,1,0,1
"533243","R1.015","R2.090","R3.059","P1.04","P2.04",2,2,0,2
"533263","R1.015","R2.090","R3.079","P1.04","P2.04",1,2,0.5,1
"533273","R1.015","R2.090","R3.089","P1.04","P2.04",1,1,0,1
"533625","R1.015","R2.092","R3.057","P1.04","P2.04",1,1,0,1
"533979","R1.015","R2.094","R3.027","P1.04","P2.04",1,1,0,1
"534198","R1.015","R2.095","R3.054","P1.04","P2.04",1,1,0,1
"534371","R1.015","R2.096","R3.035","P1.04","P2.04",2,2,0,2
"553403","R1.016","R2.003","R3.059","P1.04","P2.04",1,1,0,1
"553556","R1.016","R2.004","R3.020","P1.04","P2.04",1,1,0,1
"553573","R1.016","R2.004","R3.037","P1.04","P2.04",1,2,0.5,1
"553596","R1.016","R2.004","R3.060","P1.04","P2.04",1,1,0,1
"553928","R1.016","R2.006","R3.008","P1.04","P2.04",2,2,0,2
"553929","R1.016","R2.006","R3.009","P1.04","P2.04",1,1,0,1
"553950","R1.016","R2.006","R3.030","P1.04","P2.04",1,1,0,1
"553989","R1.016","R2.006","R3.069","P1.04","P2.04",1,1,0,1
"554014","R1.016","R2.006","R3.094","P1.04","P2.04",1,1,0,1
"554114","R1.016","R2.007","R3.002","P1.04","P2.04",1,1,0,1
"554177","R1.016","R2.007","R3.065","P1.04","P2.04",1,1,0,1
"554193","R1.016","R2.007","R3.081","P1.04","P2.04",1,1,0,1
"554306","R1.016","R2.008","R3.002","P1.04","P2.04",1,1,0,1
"554698","R1.016","R2.010","R3.010","P1.04","P2.04",2,2,0,2
"554724","R1.016","R2.010","R3.036","P1.04","P2.04",1,1,0,1
"554764","R1.016","R2.010","R3.076","P1.04","P2.04",1,1,0,1
"554935","R1.016","R2.011","R3.055","P1.04","P2.04",1,3,0.666666666666667,1
"555117","R1.016","R2.012","R3.045","P1.04","P2.04",1,1,0,1
"555158","R1.016","R2.012","R3.086","P1.04","P2.04",1,1,0,1
"555278","R1.016","R2.013","R3.014","P1.04","P2.04",1,1,0,1
"555300","R1.016","R2.013","R3.036","P1.04","P2.04",1,1,0,1
"555882","R1.016","R2.016","R3.042","P1.04","P2.04",1,2,0.5,1
"555923","R1.016","R2.016","R3.083","P1.04","P2.04",1,1,0,1
"556238","R1.016","R2.018","R3.014","P1.04","P2.04",1,1,0,1
"556306","R1.016","R2.018","R3.082","P1.04","P2.04",2,2,0,2
"557073","R1.016","R2.022","R3.081","P1.04","P2.04",1,1,0,1
"557221","R1.016","R2.023","R3.037","P1.04","P2.04",1,1,0,1
"557279","R1.016","R2.023","R3.095","P1.04","P2.04",1,2,0.5,1
"557603","R1.016","R2.025","R3.035","P1.04","P2.04",1,1,0,1
"557625","R1.016","R2.025","R3.057","P1.04","P2.04",1,1,0,1
"557975","R1.016","R2.027","R3.023","P1.04","P2.04",1,1,0,1
"558796","R1.016","R2.031","R3.076","P1.04","P2.04",1,1,0,1
"558961","R1.016","R2.032","R3.049","P1.04","P2.04",1,1,0,1
"559576","R1.016","R2.035","R3.088","P1.04","P2.04",1,1,0,1
"560090","R1.016","R2.038","R3.026","P1.04","P2.04",1,1,0,1
"560097","R1.016","R2.038","R3.033","P1.04","P2.04",1,1,0,1
"561261","R1.016","R2.044","R3.045","P1.04","P2.04",1,1,0,1
"561269","R1.016","R2.044","R3.053","P1.04","P2.04",1,1,0,1
"561285","R1.016","R2.044","R3.069","P1.04","P2.04",1,1,0,1
"561470","R1.016","R2.045","R3.062","P1.04","P2.04",1,1,0,1
"562210","R1.016","R2.049","R3.034","P1.04","P2.04",1,1,0,1
"562269","R1.016","R2.049","R3.093","P1.04","P2.04",1,1,0,1
"562624","R1.016","R2.051","R3.064","P1.04","P2.04",1,1,0,1
"562841","R1.016","R2.052","R3.089","P1.04","P2.04",1,1,0,1
"563193","R1.016","R2.054","R3.057","P1.04","P2.04",1,1,0,1
"563231","R1.016","R2.054","R3.095","P1.04","P2.04",1,1,0,1
"563367","R1.016","R2.055","R3.039","P1.04","P2.04",1,1,0,1
"563407","R1.016","R2.055","R3.079","P1.04","P2.04",1,1,0,1
"563610","R1.016","R2.056","R3.090","P1.04","P2.04",1,1,0,1
"563770","R1.016","R2.057","R3.058","P1.04","P2.04",1,1,0,1
"564133","R1.016","R2.059","R3.037","P1.04","P2.04",1,1,0,1
"564572","R1.016","R2.061","R3.092","P1.04","P2.04",1,1,0,1
"564727","R1.016","R2.062","R3.055","P1.04","P2.04",1,1,0,1
"565117","R1.016","R2.064","R3.061","P1.04","P2.04",2,2,0,2
"565293","R1.016","R2.065","R3.045","P1.04","P2.04",1,1,0,1
"565330","R1.016","R2.065","R3.082","P1.04","P2.04",1,1,0,1
"565463","R1.016","R2.066","R3.023","P1.04","P2.04",1,1,0,1
"566213","R1.016","R2.070","R3.005","P1.04","P2.04",1,1,0,1
"566252","R1.016","R2.070","R3.044","P1.04","P2.04",2,2,0,2
"567051","R1.016","R2.074","R3.075","P1.04","P2.04",1,1,0,1
"567204","R1.016","R2.075","R3.036","P1.04","P2.04",1,1,0,1
"567232","R1.016","R2.075","R3.064","P1.04","P2.04",1,1,0,1
"567417","R1.016","R2.076","R3.057","P1.04","P2.04",1,1,0,1
"567604","R1.016","R2.077","R3.052","P1.04","P2.04",1,1,0,1
"568031","R1.016","R2.079","R3.095","P1.04","P2.04",1,1,0,1
"568150","R1.016","R2.080","R3.022","P1.04","P2.04",1,1,0,1
"568328","R1.016","R2.081","R3.008","P1.04","P2.04",1,1,0,1
"568540","R1.016","R2.082","R3.028","P1.04","P2.04",1,2,0.5,1
"568898","R1.016","R2.084","R3.002","P1.04","P2.04",1,1,0,1
"568980","R1.016","R2.084","R3.084","P1.04","P2.04",1,1,0,1
"569311","R1.016","R2.086","R3.031","P1.04","P2.04",1,1,0,1
"569714","R1.016","R2.088","R3.050","P1.04","P2.04",1,2,0.5,1
"569888","R1.016","R2.089","R3.032","P1.04","P2.04",1,1,0,1
"570057","R1.016","R2.090","R3.009","P1.04","P2.04",1,1,0,1
"570063","R1.016","R2.090","R3.015","P1.04","P2.04",2,4,0.5,3
"570068","R1.016","R2.090","R3.020","P1.04","P2.04",1,1,0,1
"570076","R1.016","R2.090","R3.028","P1.04","P2.04",1,1,0,1
"570277","R1.016","R2.091","R3.037","P1.04","P2.04",1,1,0,1
"570442","R1.016","R2.092","R3.010","P1.04","P2.04",2,2,0,2
"570823","R1.016","R2.094","R3.007","P1.04","P2.04",2,2,0,2
"571286","R1.016","R2.096","R3.086","P1.04","P2.04",1,1,0,1
"590090","R1.017","R2.002","R3.074","P1.04","P2.04",1,1,0,1
"590266","R1.017","R2.003","R3.058","P1.04","P2.04",2,2,0,2
"590654","R1.017","R2.005","R3.062","P1.04","P2.04",1,1,0,1
"590836","R1.017","R2.006","R3.052","P1.04","P2.04",1,1,0,1
"590842","R1.017","R2.006","R3.058","P1.04","P2.04",1,1,0,1
"591647","R1.017","R2.010","R3.095","P1.04","P2.04",1,1,0,1
"591767","R1.017","R2.011","R3.023","P1.04","P2.04",2,2,0,2
"591777","R1.017","R2.011","R3.033","P1.04","P2.04",1,1,0,1
"591794","R1.017","R2.011","R3.050","P1.04","P2.04",2,2,0,2
"593123","R1.017","R2.018","R3.035","P1.04","P2.04",1,1,0,1
"593922","R1.017","R2.022","R3.066","P1.04","P2.04",2,2,0,2
"594481","R1.017","R2.025","R3.049","P1.04","P2.04",1,1,0,1
"594488","R1.017","R2.025","R3.056","P1.04","P2.04",2,4,0.5,3
"594659","R1.017","R2.026","R3.035","P1.04","P2.04",1,1,0,1
"594666","R1.017","R2.026","R3.042","P1.04","P2.04",1,1,0,1
"595069","R1.017","R2.028","R3.061","P1.04","P2.04",2,2,0,2
"595235","R1.017","R2.029","R3.035","P1.04","P2.04",3,3,0,3
"595268","R1.017","R2.029","R3.068","P1.04","P2.04",1,2,0.5,1
"596204","R1.017","R2.034","R3.044","P1.04","P2.04",1,1,0,1
"596372","R1.017","R2.035","R3.020","P1.04","P2.04",1,1,0,1
"596570","R1.017","R2.036","R3.026","P1.04","P2.04",1,2,0.5,1
"597012","R1.017","R2.038","R3.084","P1.04","P2.04",1,2,0.5,1
"597556","R1.017","R2.041","R3.052","P1.04","P2.04",1,1,0,1
"597586","R1.017","R2.041","R3.082","P1.04","P2.04",1,1,0,1
"597587","R1.017","R2.041","R3.083","P1.04","P2.04",1,1,0,1
"598123","R1.017","R2.044","R3.043","P1.04","P2.04",1,2,0.5,1
"598275","R1.017","R2.045","R3.003","P1.04","P2.04",1,3,0.666666666666667,1
"598870","R1.017","R2.048","R3.022","P1.04","P2.04",1,1,0,1
"598890","R1.017","R2.048","R3.042","P1.04","P2.04",1,3,0.666666666666667,1
"599259","R1.017","R2.050","R3.027","P1.04","P2.04",1,2,0.5,1
"599270","R1.017","R2.050","R3.038","P1.04","P2.04",1,1,0,1
"599697","R1.017","R2.052","R3.081","P1.04","P2.04",2,2,0,2
"600020","R1.017","R2.054","R3.020","P1.04","P2.04",4,4,0,4
"600081","R1.017","R2.054","R3.081","P1.04","P2.04",1,1,0,1
"600095","R1.017","R2.054","R3.095","P1.04","P2.04",1,1,0,1
"600215","R1.017","R2.055","R3.023","P1.04","P2.04",1,1,0,1
"601393","R1.017","R2.061","R3.049","P1.04","P2.04",1,1,0,1
"601983","R1.017","R2.064","R3.063","P1.04","P2.04",1,1,0,1
"602178","R1.017","R2.065","R3.066","P1.04","P2.04",2,2,0,2
"602554","R1.017","R2.067","R3.058","P1.04","P2.04",1,1,0,1
"602784","R1.017","R2.068","R3.096","P1.04","P2.04",1,1,0,1
"603136","R1.017","R2.070","R3.064","P1.04","P2.04",1,1,0,1
"603137","R1.017","R2.070","R3.065","P1.04","P2.04",1,1,0,1
"603677","R1.017","R2.073","R3.029","P1.04","P2.04",1,1,0,1
"603880","R1.017","R2.074","R3.040","P1.04","P2.04",1,1,0,1
"603915","R1.017","R2.074","R3.075","P1.04","P2.04",1,1,0,1
"604044","R1.017","R2.075","R3.012","P1.04","P2.04",1,1,0,1
"604872","R1.017","R2.079","R3.072","P1.04","P2.04",1,2,0.5,1
"605435","R1.017","R2.082","R3.059","P1.04","P2.04",1,1,0,1
"605820","R1.017","R2.084","R3.060","P1.04","P2.04",1,1,0,1
"605822","R1.017","R2.084","R3.062","P1.04","P2.04",1,2,0.5,1
"606574","R1.017","R2.088","R3.046","P1.04","P2.04",2,2,0,2
"607356","R1.017","R2.092","R3.060","P1.04","P2.04",1,1,0,1
"607766","R1.017","R2.094","R3.086","P1.04","P2.04",2,2,0,2
"607901","R1.017","R2.095","R3.029","P1.04","P2.04",1,1,0,1
"627139","R1.018","R2.003","R3.067","P1.04","P2.04",1,1,0,1
"629439","R1.018","R2.015","R3.063","P1.04","P2.04",1,3,0.666666666666667,1
"629770","R1.018","R2.017","R3.010","P1.04","P2.04",1,1,0,1
"630151","R1.018","R2.019","R3.007","P1.04","P2.04",3,3,0,3
"630214","R1.018","R2.019","R3.070","P1.04","P2.04",1,1,0,1
"630553","R1.018","R2.021","R3.025","P1.04","P2.04",1,1,0,1
"631304","R1.018","R2.025","R3.008","P1.04","P2.04",1,1,0,1
"631321","R1.018","R2.025","R3.025","P1.04","P2.04",1,1,0,1
"631390","R1.018","R2.025","R3.094","P1.04","P2.04",1,1,0,1
"631534","R1.018","R2.026","R3.046","P1.04","P2.04",1,1,0,1
"631536","R1.018","R2.026","R3.048","P1.04","P2.04",1,1,0,1
"631915","R1.018","R2.028","R3.043","P1.04","P2.04",1,1,0,1
"631924","R1.018","R2.028","R3.052","P1.04","P2.04",1,1,0,1
"632073","R1.018","R2.029","R3.009","P1.04","P2.04",1,1,0,1
"632139","R1.018","R2.029","R3.075","P1.04","P2.04",1,1,0,1
"632152","R1.018","R2.029","R3.088","P1.04","P2.04",1,1,0,1
"632892","R1.018","R2.033","R3.060","P1.04","P2.04",1,1,0,1
"633227","R1.018","R2.035","R3.011","P1.04","P2.04",1,1,0,1
"633238","R1.018","R2.035","R3.022","P1.04","P2.04",1,3,0.666666666666667,1
"633261","R1.018","R2.035","R3.045","P1.04","P2.04",1,1,0,1
"633459","R1.018","R2.036","R3.051","P1.04","P2.04",1,1,0,1
"633623","R1.018","R2.037","R3.023","P1.04","P2.04",1,1,0,1
"633634","R1.018","R2.037","R3.034","P1.04","P2.04",1,1,0,1
"633678","R1.018","R2.037","R3.078","P1.04","P2.04",1,1,0,1
"633852","R1.018","R2.038","R3.060","P1.04","P2.04",1,1,0,1
"634564","R1.018","R2.042","R3.004","P1.04","P2.04",1,2,0.5,1
"634607","R1.018","R2.042","R3.047","P1.04","P2.04",1,1,0,1
"635165","R1.018","R2.045","R3.029","P1.04","P2.04",1,1,0,1
"635177","R1.018","R2.045","R3.041","P1.04","P2.04",1,1,0,1
"635757","R1.018","R2.048","R3.045","P1.04","P2.04",1,2,0.5,1
"635980","R1.018","R2.049","R3.076","P1.04","P2.04",1,4,0.75,1
"636157","R1.018","R2.050","R3.061","P1.04","P2.04",1,1,0,1
"636332","R1.018","R2.051","R3.044","P1.04","P2.04",2,3,0.333333333333333,3
"636334","R1.018","R2.051","R3.046","P1.04","P2.04",1,1,0,1
"636349","R1.018","R2.051","R3.061","P1.04","P2.04",1,1,0,1
"636683","R1.018","R2.053","R3.011","P1.04","P2.04",1,1,0,1
"636711","R1.018","R2.053","R3.039","P1.04","P2.04",1,1,0,1
"636905","R1.018","R2.054","R3.041","P1.04","P2.04",1,1,0,1
"637254","R1.018","R2.056","R3.006","P1.04","P2.04",2,3,0.333333333333333,3
"638089","R1.018","R2.060","R3.073","P1.04","P2.04",1,1,0,1
"638090","R1.018","R2.060","R3.074","P1.04","P2.04",1,1,0,1
"638254","R1.018","R2.061","R3.046","P1.04","P2.04",1,1,0,1
"638271","R1.018","R2.061","R3.063","P1.04","P2.04",1,1,0,1
"638274","R1.018","R2.061","R3.066","P1.04","P2.04",1,1,0,1
"638299","R1.018","R2.061","R3.091","P1.04","P2.04",1,1,0,1
"638791","R1.018","R2.064","R3.007","P1.04","P2.04",1,3,0.666666666666667,1
"639227","R1.018","R2.066","R3.059","P1.04","P2.04",1,1,0,1
"639824","R1.018","R2.069","R3.080","P1.04","P2.04",1,1,0,1
"639980","R1.018","R2.070","R3.044","P1.04","P2.04",1,1,0,1
"639982","R1.018","R2.070","R3.046","P1.04","P2.04",1,1,0,1
"640541","R1.018","R2.073","R3.029","P1.04","P2.04",1,1,0,1
"640724","R1.018","R2.074","R3.020","P1.04","P2.04",2,2,0,2
"640946","R1.018","R2.075","R3.050","P1.04","P2.04",1,1,0,1
"641116","R1.018","R2.076","R3.028","P1.04","P2.04",1,1,0,1
"641326","R1.018","R2.077","R3.046","P1.04","P2.04",1,1,0,1
"641327","R1.018","R2.077","R3.047","P1.04","P2.04",1,1,0,1
"641482","R1.018","R2.078","R3.010","P1.04","P2.04",1,1,0,1
"641499","R1.018","R2.078","R3.027","P1.04","P2.04",1,1,0,1
"641513","R1.018","R2.078","R3.041","P1.04","P2.04",1,1,0,1
"641554","R1.018","R2.078","R3.082","P1.04","P2.04",1,1,0,1
"641686","R1.018","R2.079","R3.022","P1.04","P2.04",1,1,0,1
"642102","R1.018","R2.081","R3.054","P1.04","P2.04",1,1,0,1
"642115","R1.018","R2.081","R3.067","P1.04","P2.04",1,1,0,1
"642128","R1.018","R2.081","R3.080","P1.04","P2.04",1,1,0,1
"642466","R1.018","R2.083","R3.034","P1.04","P2.04",1,1,0,1
"642506","R1.018","R2.083","R3.074","P1.04","P2.04",1,1,0,1
"642825","R1.018","R2.085","R3.009","P1.04","P2.04",1,1,0,1
"643087","R1.018","R2.086","R3.079","P1.04","P2.04",1,1,0,1
"643259","R1.018","R2.087","R3.059","P1.04","P2.04",1,1,0,1
"643798","R1.018","R2.090","R3.022","P1.04","P2.04",1,1,0,1
"644163","R1.018","R2.092","R3.003","P1.04","P2.04",1,1,0,1
"644378","R1.018","R2.093","R3.026","P1.04","P2.04",1,1,0,1
"644764","R1.018","R2.095","R3.028","P1.04","P2.04",1,1,0,1
"663602","R1.019","R2.001","R3.050","P1.04","P2.04",1,2,0.5,1
"663803","R1.019","R2.002","R3.059","P1.04","P2.04",1,1,0,1
"663953","R1.019","R2.003","R3.017","P1.04","P2.04",2,3,0.333333333333333,3
"664154","R1.019","R2.004","R3.026","P1.04","P2.04",1,1,0,1
"664171","R1.019","R2.004","R3.043","P1.04","P2.04",1,1,0,1
"664212","R1.019","R2.004","R3.084","P1.04","P2.04",1,1,0,1
"664330","R1.019","R2.005","R3.010","P1.04","P2.04",1,1,0,1
"664340","R1.019","R2.005","R3.020","P1.04","P2.04",1,2,0.5,1
"664580","R1.019","R2.006","R3.068","P1.04","P2.04",1,1,0,1
"665307","R1.019","R2.010","R3.027","P1.04","P2.04",1,1,0,1
"665313","R1.019","R2.010","R3.033","P1.04","P2.04",1,1,0,1
"665327","R1.019","R2.010","R3.047","P1.04","P2.04",1,1,0,1
"665522","R1.019","R2.011","R3.050","P1.04","P2.04",1,1,0,1
"665559","R1.019","R2.011","R3.087","P1.04","P2.04",1,1,0,1
"666120","R1.019","R2.014","R3.072","P1.04","P2.04",1,1,0,1
"666140","R1.019","R2.014","R3.092","P1.04","P2.04",1,1,0,1
"666324","R1.019","R2.015","R3.084","P1.04","P2.04",1,1,0,1
"666820","R1.019","R2.018","R3.004","P1.04","P2.04",1,1,0,1
"667067","R1.019","R2.019","R3.059","P1.04","P2.04",1,1,0,1
"667082","R1.019","R2.019","R3.074","P1.04","P2.04",2,2,0,2
"667255","R1.019","R2.020","R3.055","P1.04","P2.04",1,1,0,1
"667827","R1.019","R2.023","R3.051","P1.04","P2.04",1,1,0,1
"667828","R1.019","R2.023","R3.052","P1.04","P2.04",2,2,0,2
"668176","R1.019","R2.025","R3.016","P1.04","P2.04",1,1,0,1
"668226","R1.019","R2.025","R3.066","P1.04","P2.04",2,2,0,2
"668413","R1.019","R2.026","R3.061","P1.04","P2.04",1,1,0,1
"668562","R1.019","R2.027","R3.018","P1.04","P2.04",2,3,0.333333333333333,3
"668603","R1.019","R2.027","R3.059","P1.04","P2.04",1,1,0,1
"668992","R1.019","R2.029","R3.064","P1.04","P2.04",1,1,0,1
"669897","R1.019","R2.034","R3.009","P1.04","P2.04",1,1,0,1
"669909","R1.019","R2.034","R3.021","P1.04","P2.04",1,1,0,1
"669942","R1.019","R2.034","R3.054","P1.04","P2.04",1,1,0,1
"670291","R1.019","R2.036","R3.019","P1.04","P2.04",1,1,0,1
"670750","R1.019","R2.038","R3.094","P1.04","P2.04",1,2,0.5,1
"670882","R1.019","R2.039","R3.034","P1.04","P2.04",2,2,0,2
"670919","R1.019","R2.039","R3.071","P1.04","P2.04",1,1,0,1
"671105","R1.019","R2.040","R3.065","P1.04","P2.04",1,1,0,1
"671241","R1.019","R2.041","R3.009","P1.04","P2.04",1,2,0.5,1
"671268","R1.019","R2.041","R3.036","P1.04","P2.04",1,1,0,1
"671460","R1.019","R2.042","R3.036","P1.04","P2.04",1,1,0,1
"671469","R1.019","R2.042","R3.045","P1.04","P2.04",1,1,0,1
"671833","R1.019","R2.044","R3.025","P1.04","P2.04",2,2,0,2
"672038","R1.019","R2.045","R3.038","P1.04","P2.04",1,2,0.5,1
"672404","R1.019","R2.047","R3.020","P1.04","P2.04",1,2,0.5,1
"673730","R1.019","R2.054","R3.002","P1.04","P2.04",1,1,0,1
"673748","R1.019","R2.054","R3.020","P1.04","P2.04",1,1,0,1
"673940","R1.019","R2.055","R3.020","P1.04","P2.04",1,1,0,1
"674318","R1.019","R2.057","R3.014","P1.04","P2.04",1,1,0,1
"674334","R1.019","R2.057","R3.030","P1.04","P2.04",1,1,0,1
"674361","R1.019","R2.057","R3.057","P1.04","P2.04",1,1,0,1
"674372","R1.019","R2.057","R3.068","P1.04","P2.04",1,1,0,1
"674519","R1.019","R2.058","R3.023","P1.04","P2.04",1,1,0,1
"674536","R1.019","R2.058","R3.040","P1.04","P2.04",1,1,0,1
"675265","R1.019","R2.062","R3.001","P1.04","P2.04",1,2,0.5,1
"675279","R1.019","R2.062","R3.015","P1.04","P2.04",1,2,0.5,1
"675332","R1.019","R2.062","R3.068","P1.04","P2.04",3,3,0,3
"675484","R1.019","R2.063","R3.028","P1.04","P2.04",1,1,0,1
"675542","R1.019","R2.063","R3.086","P1.04","P2.04",2,2,0,2
"675930","R1.019","R2.065","R3.090","P1.04","P2.04",1,1,0,1
"676090","R1.019","R2.066","R3.058","P1.04","P2.04",1,1,0,1
"676228","R1.019","R2.067","R3.004","P1.04","P2.04",1,1,0,1
"676246","R1.019","R2.067","R3.022","P1.04","P2.04",1,1,0,1
"676290","R1.019","R2.067","R3.066","P1.04","P2.04",2,3,0.333333333333333,3
"676623","R1.019","R2.069","R3.015","P1.04","P2.04",1,1,0,1
"676826","R1.019","R2.070","R3.026","P1.04","P2.04",1,2,0.5,1
"676999","R1.019","R2.071","R3.007","P1.04","P2.04",1,1,0,1
"677218","R1.019","R2.072","R3.034","P1.04","P2.04",1,1,0,1
"677261","R1.019","R2.072","R3.077","P1.04","P2.04",1,1,0,1
"677263","R1.019","R2.072","R3.079","P1.04","P2.04",1,2,0.5,1
"677428","R1.019","R2.073","R3.052","P1.04","P2.04",1,2,0.5,1
"677605","R1.019","R2.074","R3.037","P1.04","P2.04",1,1,0,1
"677619","R1.019","R2.074","R3.051","P1.04","P2.04",1,1,0,1
"677631","R1.019","R2.074","R3.063","P1.04","P2.04",1,3,0.666666666666667,1
"677854","R1.019","R2.075","R3.094","P1.04","P2.04",1,1,0,1
"677979","R1.019","R2.076","R3.027","P1.04","P2.04",1,2,0.5,1
"678033","R1.019","R2.076","R3.081","P1.04","P2.04",1,1,0,1
"678179","R1.019","R2.077","R3.035","P1.04","P2.04",1,1,0,1
"678232","R1.019","R2.077","R3.088","P1.04","P2.04",1,1,0,1
"678372","R1.019","R2.078","R3.036","P1.04","P2.04",1,1,0,1
"678415","R1.019","R2.078","R3.079","P1.04","P2.04",1,1,0,1
"678548","R1.019","R2.079","R3.020","P1.04","P2.04",1,1,0,1
"678558","R1.019","R2.079","R3.030","P1.04","P2.04",1,1,0,1
"678750","R1.019","R2.080","R3.030","P1.04","P2.04",1,1,0,1
"678762","R1.019","R2.080","R3.042","P1.04","P2.04",1,1,0,1
"678956","R1.019","R2.081","R3.044","P1.04","P2.04",2,2,0,2
"679141","R1.019","R2.082","R3.037","P1.04","P2.04",1,1,0,1
"679346","R1.019","R2.083","R3.050","P1.04","P2.04",1,1,0,1
"679736","R1.019","R2.085","R3.056","P1.04","P2.04",2,2,0,2
"679737","R1.019","R2.085","R3.057","P1.04","P2.04",1,1,0,1
"680259","R1.019","R2.088","R3.003","P1.04","P2.04",1,4,0.75,1
"680656","R1.019","R2.090","R3.016","P1.04","P2.04",1,1,0,1
"680707","R1.019","R2.090","R3.067","P1.04","P2.04",1,1,0,1
"680732","R1.019","R2.090","R3.092","P1.04","P2.04",1,1,0,1
"680878","R1.019","R2.091","R3.046","P1.04","P2.04",1,1,0,1
"681290","R1.019","R2.093","R3.074","P1.04","P2.04",1,1,0,1
"700476","R1.020","R2.001","R3.060","P1.04","P2.04",1,1,0,1
"700623","R1.020","R2.002","R3.015","P1.04","P2.04",1,1,0,1
"700854","R1.020","R2.003","R3.054","P1.04","P2.04",1,1,0,1
"701049","R1.020","R2.004","R3.057","P1.04","P2.04",1,2,0.5,1
"701072","R1.020","R2.004","R3.080","P1.04","P2.04",1,1,0,1
"701401","R1.020","R2.006","R3.025","P1.04","P2.04",1,1,0,1
"702591","R1.020","R2.012","R3.063","P1.04","P2.04",2,3,0.333333333333333,3
"702956","R1.020","R2.014","R3.044","P1.04","P2.04",1,1,0,1
"703389","R1.020","R2.016","R3.093","P1.04","P2.04",1,1,0,1
"703743","R1.020","R2.018","R3.063","P1.04","P2.04",1,1,0,1
"703892","R1.020","R2.019","R3.020","P1.04","P2.04",1,1,0,1
"704453","R1.020","R2.022","R3.005","P1.04","P2.04",1,1,0,1
"704482","R1.020","R2.022","R3.034","P1.04","P2.04",1,1,0,1
"705223","R1.020","R2.026","R3.007","P1.04","P2.04",1,1,0,1
"705441","R1.020","R2.027","R3.033","P1.04","P2.04",1,1,0,1
"705499","R1.020","R2.027","R3.091","P1.04","P2.04",1,1,0,1
"705815","R1.020","R2.029","R3.023","P1.04","P2.04",1,1,0,1
"705821","R1.020","R2.029","R3.029","P1.04","P2.04",1,1,0,1
"705843","R1.020","R2.029","R3.051","P1.04","P2.04",2,4,0.5,3
"706217","R1.020","R2.031","R3.041","P1.04","P2.04",1,1,0,1
"707156","R1.020","R2.036","R3.020","P1.04","P2.04",1,1,0,1
"707192","R1.020","R2.036","R3.056","P1.04","P2.04",1,1,0,1
"707335","R1.020","R2.037","R3.007","P1.04","P2.04",2,2,0,2
"707357","R1.020","R2.037","R3.029","P1.04","P2.04",1,1,0,1
"707583","R1.020","R2.038","R3.063","P1.04","P2.04",1,1,0,1
"707586","R1.020","R2.038","R3.066","P1.04","P2.04",1,1,0,1
"707731","R1.020","R2.039","R3.019","P1.04","P2.04",1,1,0,1
"707987","R1.020","R2.040","R3.083","P1.04","P2.04",1,1,0,1
"708683","R1.020","R2.044","R3.011","P1.04","P2.04",1,1,0,1
"708689","R1.020","R2.044","R3.017","P1.04","P2.04",1,1,0,1
"708870","R1.020","R2.045","R3.006","P1.04","P2.04",1,1,0,1
"709068","R1.020","R2.046","R3.012","P1.04","P2.04",1,2,0.5,1
"709460","R1.020","R2.048","R3.020","P1.04","P2.04",1,1,0,1
"710229","R1.020","R2.052","R3.021","P1.04","P2.04",1,1,0,1
"710609","R1.020","R2.054","R3.017","P1.04","P2.04",1,1,0,1
"711018","R1.020","R2.056","R3.042","P1.04","P2.04",1,1,0,1
"711198","R1.020","R2.057","R3.030","P1.04","P2.04",1,1,0,1
"711829","R1.020","R2.060","R3.085","P1.04","P2.04",1,1,0,1
"712193","R1.020","R2.062","R3.065","P1.04","P2.04",1,1,0,1
"712412","R1.020","R2.063","R3.092","P1.04","P2.04",1,1,0,1
"712710","R1.020","R2.065","R3.006","P1.04","P2.04",1,1,0,1
"713166","R1.020","R2.067","R3.078","P1.04","P2.04",1,1,0,1
"713371","R1.020","R2.068","R3.091","P1.04","P2.04",1,1,0,1
"713479","R1.020","R2.069","R3.007","P1.04","P2.04",1,2,0.5,1
"713558","R1.020","R2.069","R3.086","P1.04","P2.04",1,1,0,1
"714651","R1.020","R2.075","R3.027","P1.04","P2.04",1,1,0,1
"714827","R1.020","R2.076","R3.011","P1.04","P2.04",1,2,0.5,1
"714890","R1.020","R2.076","R3.074","P1.04","P2.04",1,3,0.666666666666667,1
"715017","R1.020","R2.077","R3.009","P1.04","P2.04",1,1,0,1
"715021","R1.020","R2.077","R3.013","P1.04","P2.04",1,1,0,1
"715033","R1.020","R2.077","R3.025","P1.04","P2.04",1,1,0,1
"715071","R1.020","R2.077","R3.063","P1.04","P2.04",1,1,0,1
"715650","R1.020","R2.080","R3.066","P1.04","P2.04",1,1,0,1
"715818","R1.020","R2.081","R3.042","P1.04","P2.04",1,1,0,1
